pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	3<chiso range<9 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	3<chiso range<10 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	3<chiso range<11 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	3<chiso range<12 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	3<chiso range<13 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	4<chiso range<9 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	4<chiso range<10 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	4<chiso range<11 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	4<chiso range<12 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	4<chiso range<13 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	5<chiso range<10 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	5<chiso range<11 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	5<chiso range<12 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	5<chiso range<13 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	6<chiso range<11 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	6<chiso range<12 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	6<chiso range<13 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	7<chiso range<12 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	7<chiso range<13 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
25 <pt<30 	8<chiso range<13 	193.288	46.5856	0.241017	6.95288e-310	6.95288e-310	inf
#######################################################################################
30 <pt<35 	3<chiso range<8 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	3<chiso range<9 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	3<chiso range<10 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	3<chiso range<11 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	3<chiso range<12 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	3<chiso range<13 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	4<chiso range<9 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	4<chiso range<10 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	4<chiso range<11 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	4<chiso range<12 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	4<chiso range<13 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	5<chiso range<10 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	5<chiso range<11 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	5<chiso range<12 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	5<chiso range<13 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	6<chiso range<11 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	6<chiso range<12 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	6<chiso range<13 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	7<chiso range<12 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
30 <pt<35 	7<chiso range<13 	106.082	24.7859	0.233648	6.95288e-310	6.95288e-310	inf
