pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
25  <pt<30 	3<chiso range<8 	75.9541	54.74	13.1409	1.61436
25  <pt<30 	3<chiso range<9 	75.9541	53.3672	13.2844	1.70026
25  <pt<30 	3<chiso range<10 	75.9541	54.6854	13.2243	1.6083
25  <pt<30 	3<chiso range<11 	75.9541	57.4923	13.1125	1.40795
25  <pt<30 	3<chiso range<12 	75.9541	58.4679	13.0511	1.33983
25  <pt<30 	3<chiso range<13 	75.9541	58.7592	13.0474	1.31788
25  <pt<30 	4<chiso range<9 	75.9541	50.7115	13.4177	1.88129
25  <pt<30 	4<chiso range<10 	75.9541	52.7018	13.3133	1.74655
25  <pt<30 	4<chiso range<11 	75.9541	56.2068	13.1688	1.49955
25  <pt<30 	4<chiso range<12 	75.9541	57.4551	13.0925	1.41295
25  <pt<30 	4<chiso range<13 	75.9541	57.8781	13.0841	1.38152
25  <pt<30 	5<chiso range<10 	75.9541	55.5698	13.1675	1.54808
25  <pt<30 	5<chiso range<11 	75.9541	59.2138	13.0298	1.28477
25  <pt<30 	5<chiso range<12 	75.9541	60.2326	12.9622	1.21287
25  <pt<30 	5<chiso range<13 	75.9541	60.4417	12.9668	1.19632
25  <pt<30 	6<chiso range<11 	75.9541	61.3527	12.9493	1.12758
25  <pt<30 	6<chiso range<12 	75.9541	62.2148	12.8807	1.06666
25  <pt<30 	6<chiso range<13 	75.9541	62.2414	12.8972	1.06323
25  <pt<30 	7<chiso range<12 	75.9541	62.3283	12.9376	1.05319
25  <pt<30 	7<chiso range<13 	75.9541	62.3272	12.9527	1.05205
25  <pt<30 	8<chiso range<13 	75.9541	63.8395	12.9458	0.935794
#######################################################################################
30  <pt<35 	3<chiso range<8 	49.8554	45.4057	9.93209	0.448012
30  <pt<35 	3<chiso range<9 	49.8554	46.4569	9.84015	0.345371
30  <pt<35 	3<chiso range<10 	49.8554	47.4901	9.71197	0.243545
30  <pt<35 	3<chiso range<11 	49.8554	47.3688	9.72161	0.255781
30  <pt<35 	3<chiso range<12 	49.8554	47.9555	9.67437	0.196385
30  <pt<35 	3<chiso range<13 	49.8554	48.4746	9.631	0.14337
30  <pt<35 	4<chiso range<9 	49.8554	49.5708	9.54824	0.0298065
30  <pt<35 	4<chiso range<10 	49.8554	50.2983	9.45509	0.0468425
30  <pt<35 	4<chiso range<11 	49.8554	49.702	9.5094	0.0161314
30  <pt<35 	4<chiso range<12 	49.8554	50.1217	9.47588	0.0281029
30  <pt<35 	4<chiso range<13 	49.8554	50.5098	9.44226	0.0693054
30  <pt<35 	5<chiso range<10 	49.8554	49.5775	9.56778	0.0290454
30  <pt<35 	5<chiso range<11 	49.8554	48.9535	9.61433	0.0938079
30  <pt<35 	5<chiso range<12 	49.8554	49.5531	9.56055	0.0316195
30  <pt<35 	5<chiso range<13 	49.8554	50.0676	9.51121	0.0223105
30  <pt<35 	6<chiso range<11 	49.8554	49.8054	9.4891	0.0052692
30  <pt<35 	6<chiso range<12 	49.8554	50.3621	9.44682	0.0536371
30  <pt<35 	6<chiso range<13 	49.8554	50.8741	9.41109	0.108245
30  <pt<35 	7<chiso range<12 	49.8554	51.4779	9.35384	0.173458
30  <pt<35 	7<chiso range<13 	49.8554	51.9173	9.32059	0.22122
30  <pt<35 	8<chiso range<13 	49.8554	52.0244	9.32042	0.232715
#######################################################################################
35  <pt<40 	3<chiso range<8 	34.9563	31.7211	7.49199	0.431821
35  <pt<40 	3<chiso range<9 	34.9563	32.6441	7.40537	0.312233
35  <pt<40 	3<chiso range<10 	34.9563	31.5817	7.49929	0.449989
35  <pt<40 	3<chiso range<11 	34.9563	30.8952	7.57803	0.535904
35  <pt<40 	3<chiso range<12 	34.9563	30.8626	7.52539	0.543985
35  <pt<40 	3<chiso range<13 	34.9563	31.1298	7.47614	0.511828
35  <pt<40 	4<chiso range<9 	34.9563	33.1442	7.38675	0.245318
35  <pt<40 	4<chiso range<10 	34.9563	31.851	7.49428	0.414356
35  <pt<40 	4<chiso range<11 	34.9563	31.032	7.58721	0.517226
35  <pt<40 	4<chiso range<12 	34.9563	30.9581	7.52716	0.53117
35  <pt<40 	4<chiso range<13 	34.9563	31.2519	7.47003	0.495902
35  <pt<40 	5<chiso range<10 	34.9563	32.4527	7.45847	0.335672
35  <pt<40 	5<chiso range<11 	34.9563	31.3853	7.57826	0.471216
35  <pt<40 	5<chiso range<12 	34.9563	31.2626	7.50739	0.492009
35  <pt<40 	5<chiso range<13 	34.9563	31.5458	7.44374	0.45817
35  <pt<40 	6<chiso range<11 	34.9563	30.9017	7.6069	0.533016
35  <pt<40 	6<chiso range<12 	34.9563	30.9047	7.51274	0.539297
35  <pt<40 	6<chiso range<13 	34.9563	31.2767	7.44209	0.494431
35  <pt<40 	7<chiso range<12 	34.9563	30.4542	7.5529	0.596076
35  <pt<40 	7<chiso range<13 	34.9563	30.9911	7.4617	0.531407
35  <pt<40 	8<chiso range<13 	34.9563	30.8114	7.43991	0.557117
#######################################################################################
40  <pt<50 	3<chiso range<8 	45.4385	36.9627	9.13581	0.927756
40  <pt<50 	3<chiso range<9 	45.4385	37.4594	9.03249	0.883378
40  <pt<50 	3<chiso range<10 	45.4385	37.9921	8.9173	0.835051
40  <pt<50 	3<chiso range<11 	45.4385	38.8887	8.75226	0.748355
40  <pt<50 	3<chiso range<12 	45.4385	40.5214	8.53723	0.57596
40  <pt<50 	3<chiso range<13 	45.4385	39.8218	8.63707	0.650302
40  <pt<50 	4<chiso range<9 	45.4385	37.0887	9.02225	0.925468
40  <pt<50 	4<chiso range<10 	45.4385	37.8444	8.88394	0.854812
40  <pt<50 	4<chiso range<11 	45.4385	38.961	8.69228	0.745201
40  <pt<50 	4<chiso range<12 	45.4385	40.8259	8.45963	0.545248
40  <pt<50 	4<chiso range<13 	45.4385	40.0043	8.57648	0.633617
40  <pt<50 	5<chiso range<10 	45.4385	38.0959	8.92921	0.822312
40  <pt<50 	5<chiso range<11 	45.4385	39.411	8.68309	0.694165
40  <pt<50 	5<chiso range<12 	45.4385	41.4497	8.41894	0.473789
40  <pt<50 	5<chiso range<13 	45.4385	40.5311	8.55403	0.573695
40  <pt<50 	6<chiso range<11 	45.4385	40.0987	8.52714	0.626212
40  <pt<50 	6<chiso range<12 	45.4385	42.2292	8.27708	0.387733
40  <pt<50 	6<chiso range<13 	45.4385	41.1156	8.43718	0.512363
40  <pt<50 	7<chiso range<12 	45.4385	44.1957	8.05646	0.154261
40  <pt<50 	7<chiso range<13 	45.4385	42.6995	8.25046	0.331981
40  <pt<50 	8<chiso range<13 	45.4385	43.202	8.13918	0.274782
#######################################################################################
50  <pt<65 	3<chiso range<8 	36.4207	36.7677	7.09028	0.0489402
50  <pt<65 	3<chiso range<9 	36.4207	36.1135	7.23723	0.0424472
50  <pt<65 	3<chiso range<10 	36.4207	36.1471	7.18859	0.0380603
50  <pt<65 	3<chiso range<11 	36.4207	37.1223	7.03145	0.0997803
50  <pt<65 	3<chiso range<12 	36.4207	37.3999	6.93801	0.141136
50  <pt<65 	3<chiso range<13 	36.4207	37.137	6.9533	0.103016
50  <pt<65 	4<chiso range<9 	36.4207	36.4772	7.26755	0.00777428
50  <pt<65 	4<chiso range<10 	36.4207	36.3517	7.21067	0.00956915
50  <pt<65 	4<chiso range<11 	36.4207	37.427	7.00939	0.143565
50  <pt<65 	4<chiso range<12 	36.4207	37.6903	6.91209	0.183678
50  <pt<65 	4<chiso range<13 	36.4207	37.3435	6.93278	0.133107
50  <pt<65 	5<chiso range<10 	36.4207	35.0977	7.33971	0.180252
50  <pt<65 	5<chiso range<11 	36.4207	36.777	7.0431	0.0505885
50  <pt<65 	5<chiso range<12 	36.4207	37.2584	6.91747	0.121099
50  <pt<65 	5<chiso range<13 	36.4207	36.9777	6.93624	0.0803029
50  <pt<65 	6<chiso range<11 	36.4207	36.3567	7.07739	0.00904288
50  <pt<65 	6<chiso range<12 	36.4207	37.0675	6.91608	0.0935212
50  <pt<65 	6<chiso range<13 	36.4207	36.8106	6.94289	0.0561582
50  <pt<65 	7<chiso range<12 	36.4207	37.3718	6.87645	0.138313
50  <pt<65 	7<chiso range<13 	36.4207	36.9949	6.90768	0.0831249
50  <pt<65 	8<chiso range<13 	36.4207	37.6463	6.81555	0.179824
#######################################################################################
65  <pt<100 	3<chiso range<8 	31.3753	31.0542	6.10267	0.0526163
65  <pt<100 	3<chiso range<9 	31.3753	30.9713	6.11535	0.0660633
65  <pt<100 	3<chiso range<10 	31.3753	30.976	6.12566	0.0651848
65  <pt<100 	3<chiso range<11 	31.3753	30.9068	6.16625	0.0759781
65  <pt<100 	3<chiso range<12 	31.3753	31.7136	6.06796	0.0557519
65  <pt<100 	3<chiso range<13 	31.3753	31.6461	6.06912	0.0446193
65  <pt<100 	4<chiso range<9 	31.3753	30.8473	6.14168	0.08597
65  <pt<100 	4<chiso range<10 	31.3753	30.8722	6.15084	0.0817937
65  <pt<100 	4<chiso range<11 	31.3753	30.8168	6.19466	0.0901583
65  <pt<100 	4<chiso range<12 	31.3753	31.7386	6.0745	0.0598074
65  <pt<100 	4<chiso range<13 	31.3753	31.6603	6.07507	0.046913
65  <pt<100 	5<chiso range<10 	31.3753	30.9554	6.11945	0.0686173
65  <pt<100 	5<chiso range<11 	31.3753	30.8618	6.17394	0.0831722
65  <pt<100 	5<chiso range<12 	31.3753	31.8746	6.04777	0.0825594
65  <pt<100 	5<chiso range<13 	31.3753	31.7738	6.05133	0.0658533
65  <pt<100 	6<chiso range<11 	31.3753	31.1219	6.19647	0.0408943
65  <pt<100 	6<chiso range<12 	31.3753	32.2261	6.04159	0.140824
65  <pt<100 	6<chiso range<13 	31.3753	32.0397	6.04399	0.109927
65  <pt<100 	7<chiso range<12 	31.3753	32.2552	6.05068	0.145422
65  <pt<100 	7<chiso range<13 	31.3753	32.0243	6.05413	0.1072
65  <pt<100 	8<chiso range<13 	31.3753	32.237	6.03811	0.14271
#######################################################################################
100  <pt<400 	3<chiso range<8 	19.1264	19.2659	4.36241	0.0319777
100  <pt<400 	3<chiso range<9 	19.1264	19.3913	4.33982	0.0610394
100  <pt<400 	3<chiso range<10 	19.1264	19.5881	4.26351	0.108291
100  <pt<400 	3<chiso range<11 	19.1264	19.5707	4.29258	0.103504
100  <pt<400 	3<chiso range<12 	19.1264	19.6076	4.2845	0.112312
100  <pt<400 	3<chiso range<13 	19.1264	19.4903	4.30402	0.0845489
100  <pt<400 	4<chiso range<9 	19.1264	19.5807	4.29894	0.105677
100  <pt<400 	4<chiso range<10 	19.1264	19.8305	4.24309	0.16594
100  <pt<400 	4<chiso range<11 	19.1264	19.6861	4.25838	0.131435
100  <pt<400 	4<chiso range<12 	19.1264	19.7181	4.25073	0.1392
100  <pt<400 	4<chiso range<13 	19.1264	19.5975	4.28639	0.109906
100  <pt<400 	5<chiso range<10 	19.1264	20.0041	4.2215	0.207912
100  <pt<400 	5<chiso range<11 	19.1264	19.8467	4.2404	0.169866
100  <pt<400 	5<chiso range<12 	19.1264	19.8616	4.23816	0.173472
100  <pt<400 	5<chiso range<13 	19.1264	19.6912	4.26205	0.132518
100  <pt<400 	6<chiso range<11 	19.1264	19.7686	4.2539	0.150967
100  <pt<400 	6<chiso range<12 	19.1264	19.7793	4.24148	0.153932
100  <pt<400 	6<chiso range<13 	19.1264	19.6318	4.28554	0.117931
100  <pt<400 	7<chiso range<12 	19.1264	19.7444	4.25673	0.145182
100  <pt<400 	7<chiso range<13 	19.1264	19.5192	4.28027	0.0917699
100  <pt<400 	8<chiso range<13 	19.1264	19.636	4.2689	0.119375
#######################################################################################
