pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
25 <pt<30 	3<chiso range<8 	193.288	46.5856	75.9541	63.531	54.74	2.12669	1.61436
25 <pt<30 	3<chiso range<9 	193.288	46.5856	75.9541	64.872	53.3672	2.2432	1.70026
25 <pt<30 	3<chiso range<10 	193.288	46.5856	75.9541	63.3948	54.6854	2.10483	1.6083
25 <pt<30 	3<chiso range<11 	193.288	46.5856	75.9541	60.5674	57.4923	1.82135	1.40795
25 <pt<30 	3<chiso range<12 	193.288	46.5856	75.9541	59.4134	58.4679	1.70211	1.33983
25 <pt<30 	3<chiso range<13 	193.288	46.5856	75.9541	59.3048	58.7592	1.68895	1.31788
25 <pt<30 	4<chiso range<9 	193.288	46.5856	75.9541	67.8431	50.7115	2.50425	1.88129
25 <pt<30 	4<chiso range<10 	193.288	46.5856	75.9541	65.5265	52.7018	2.30337	1.74655
25 <pt<30 	4<chiso range<11 	193.288	46.5856	75.9541	61.945	56.2068	1.96121	1.49955
25 <pt<30 	4<chiso range<12 	193.288	46.5856	75.9541	60.4711	57.4551	1.81406	1.41295
25 <pt<30 	4<chiso range<13 	193.288	46.5856	75.9541	60.254	57.8781	1.78963	1.38152
25 <pt<30 	5<chiso range<10 	193.288	46.5856	75.9541	62.59	55.5698	2.02835	1.54808
25 <pt<30 	5<chiso range<11 	193.288	46.5856	75.9541	58.9205	59.2138	1.64695	1.28477
25 <pt<30 	5<chiso range<12 	193.288	46.5856	75.9541	57.6595	60.2326	1.51003	1.21287
25 <pt<30 	5<chiso range<13 	193.288	46.5856	75.9541	57.686	60.4417	1.51112	1.19632
25 <pt<30 	6<chiso range<11 	193.288	46.5856	75.9541	56.8639	61.3527	1.41511	1.12758
25 <pt<30 	6<chiso range<12 	193.288	46.5856	75.9541	55.7	62.2148	1.28137	1.06666
25 <pt<30 	6<chiso range<13 	193.288	46.5856	75.9541	55.9507	62.2414	1.30927	1.06323
25 <pt<30 	7<chiso range<12 	193.288	46.5856	75.9541	55.5212	62.3283	1.25534	1.05319
25 <pt<30 	7<chiso range<13 	193.288	46.5856	75.9541	55.8525	62.3272	1.29301	1.05205
25 <pt<30 	8<chiso range<13 	193.288	46.5856	75.9541	54.3338	63.8395	1.10413	0.935794
#######################################################################################
30 <pt<35 	3<chiso range<8 	106.082	24.7859	49.8554	27.4067	45.4057	0.491328	0.448012
30 <pt<35 	3<chiso range<9 	106.082	24.7859	49.8554	26.4067	46.4569	0.314632	0.345371
30 <pt<35 	3<chiso range<10 	106.082	24.7859	49.8554	25.3732	47.4901	0.118789	0.243545
30 <pt<35 	3<chiso range<11 	106.082	24.7859	49.8554	25.4111	47.3688	0.126294	0.255781
30 <pt<35 	3<chiso range<12 	106.082	24.7859	49.8554	24.8086	47.9555	0.0046922	0.196385
30 <pt<35 	3<chiso range<13 	106.082	24.7859	49.8554	24.2449	48.4746	0.114338	0.14337
30 <pt<35 	4<chiso range<9 	106.082	24.7859	49.8554	23.2085	49.5708	0.347302	0.0298065
30 <pt<35 	4<chiso range<10 	106.082	24.7859	49.8554	22.5157	50.2983	0.516283	0.0468425
30 <pt<35 	4<chiso range<11 	106.082	24.7859	49.8554	23.0475	49.702	0.386473	0.0161314
30 <pt<35 	4<chiso range<12 	106.082	24.7859	49.8554	22.5919	50.1217	0.497121	0.0281029
30 <pt<35 	4<chiso range<13 	106.082	24.7859	49.8554	22.1434	50.5098	0.610469	0.0693054
30 <pt<35 	5<chiso range<10 	106.082	24.7859	49.8554	23.4332	49.5775	0.294343	0.0290454
30 <pt<35 	5<chiso range<11 	106.082	24.7859	49.8554	23.9093	48.9535	0.187268	0.0938079
30 <pt<35 	5<chiso range<12 	106.082	24.7859	49.8554	23.2565	49.5531	0.335665	0.0316195
30 <pt<35 	5<chiso range<13 	106.082	24.7859	49.8554	22.6605	50.0676	0.478584	0.0223105
30 <pt<35 	6<chiso range<11 	106.082	24.7859	49.8554	22.91	49.8054	0.419989	0.0052692
30 <pt<35 	6<chiso range<12 	106.082	24.7859	49.8554	22.3117	50.3621	0.567932	0.0536371
30 <pt<35 	6<chiso range<13 	106.082	24.7859	49.8554	21.7751	50.8741	0.707538	0.108245
30 <pt<35 	7<chiso range<12 	106.082	24.7859	49.8554	21.2117	51.4779	0.862406	0.173458
30 <pt<35 	7<chiso range<13 	106.082	24.7859	49.8554	20.7224	51.9173	1.00289	0.22122
30 <pt<35 	8<chiso range<13 	106.082	24.7859	49.8554	20.6582	52.0244	1.0208	0.232715
#######################################################################################
35 <pt<40 	3<chiso range<8 	66.6028	11.9069	34.9563	13.7999	31.7211	0.570389	0.431821
35 <pt<40 	3<chiso range<9 	66.6028	11.9069	34.9563	12.8986	32.6441	0.318905	0.312233
35 <pt<40 	3<chiso range<10 	66.6028	11.9069	34.9563	13.8289	31.5817	0.578652	0.449989
35 <pt<40 	3<chiso range<11 	66.6028	11.9069	34.9563	14.4678	30.8952	0.737236	0.535904
35 <pt<40 	3<chiso range<12 	66.6028	11.9069	34.9563	14.4624	30.8626	0.741387	0.543985
35 <pt<40 	3<chiso range<13 	66.6028	11.9069	34.9563	14.1346	31.1298	0.662893	0.511828
35 <pt<40 	4<chiso range<9 	66.6028	11.9069	34.9563	12.4647	33.1442	0.184651	0.245318
35 <pt<40 	4<chiso range<10 	66.6028	11.9069	34.9563	13.6044	31.851	0.517562	0.414356
35 <pt<40 	4<chiso range<11 	66.6028	11.9069	34.9563	14.3731	31.032	0.712283	0.517226
35 <pt<40 	4<chiso range<12 	66.6028	11.9069	34.9563	14.3877	30.9581	0.722242	0.53117
35 <pt<40 	4<chiso range<13 	66.6028	11.9069	34.9563	14.0212	31.2519	0.633568	0.495902
35 <pt<40 	5<chiso range<10 	66.6028	11.9069	34.9563	13.1144	32.4527	0.37986	0.335672
35 <pt<40 	5<chiso range<11 	66.6028	11.9069	34.9563	14.1027	31.3853	0.643497	0.471216
35 <pt<40 	5<chiso range<12 	66.6028	11.9069	34.9563	14.1538	31.2626	0.663574	0.492009
35 <pt<40 	5<chiso range<13 	66.6028	11.9069	34.9563	13.7664	31.5458	0.566933	0.45817
35 <pt<40 	6<chiso range<11 	66.6028	11.9069	34.9563	14.5533	30.9017	0.754461	0.533016
35 <pt<40 	6<chiso range<12 	66.6028	11.9069	34.9563	14.5056	30.9047	0.752446	0.539297
35 <pt<40 	6<chiso range<13 	66.6028	11.9069	34.9563	14.0183	31.2767	0.634956	0.494431
35 <pt<40 	7<chiso range<12 	66.6028	11.9069	34.9563	14.8758	30.4542	0.839464	0.596076
35 <pt<40 	7<chiso range<13 	66.6028	11.9069	34.9563	14.2431	30.9911	0.692659	0.531407
35 <pt<40 	8<chiso range<13 	66.6028	11.9069	34.9563	14.3601	30.8114	0.725421	0.557117
#######################################################################################
40 <pt<50 	3<chiso range<8 	70.0669	11.1589	45.4385	18.0927	36.9627	1.31973	0.927756
40 <pt<50 	3<chiso range<9 	70.0669	11.1589	45.4385	17.4953	37.4594	1.24989	0.883378
40 <pt<50 	3<chiso range<10 	70.0669	11.1589	45.4385	16.8441	37.9921	1.1665	0.835051
40 <pt<50 	3<chiso range<11 	70.0669	11.1589	45.4385	15.8587	38.8887	1.02597	0.748355
40 <pt<50 	3<chiso range<12 	70.0669	11.1589	45.4385	14.279	40.5214	0.751991	0.57596
40 <pt<50 	3<chiso range<13 	70.0669	11.1589	45.4385	14.9298	39.8218	0.869897	0.650302
40 <pt<50 	4<chiso range<9 	70.0669	11.1589	45.4385	17.7651	37.0887	1.29471	0.925468
40 <pt<50 	4<chiso range<10 	70.0669	11.1589	45.4385	16.8985	37.8444	1.18252	0.854812
40 <pt<50 	4<chiso range<11 	70.0669	11.1589	45.4385	15.6948	38.961	1.00689	0.745201
40 <pt<50 	4<chiso range<12 	70.0669	11.1589	45.4385	13.9035	40.8259	0.682405	0.545248
40 <pt<50 	4<chiso range<13 	70.0669	11.1589	45.4385	14.6772	40.0043	0.82914	0.633617
40 <pt<50 	5<chiso range<10 	70.0669	11.1589	45.4385	16.688	38.0959	1.14082	0.822312
40 <pt<50 	5<chiso range<11 	70.0669	11.1589	45.4385	15.2771	39.411	0.931106	0.694165
40 <pt<50 	5<chiso range<12 	70.0669	11.1589	45.4385	13.324	41.4497	0.557322	0.473789
40 <pt<50 	5<chiso range<13 	70.0669	11.1589	45.4385	14.2143	40.5311	0.737814	0.573695
40 <pt<50 	6<chiso range<11 	70.0669	11.1589	45.4385	14.4754	40.0987	0.796296	0.626212
40 <pt<50 	6<chiso range<12 	70.0669	11.1589	45.4385	12.4601	42.2292	0.359715	0.387733
40 <pt<50 	6<chiso range<13 	70.0669	11.1589	45.4385	13.5559	41.1156	0.609356	0.512363
40 <pt<50 	7<chiso range<12 	70.0669	11.1589	45.4385	10.5835	44.1957	0.185751	0.154261
40 <pt<50 	7<chiso range<13 	70.0669	11.1589	45.4385	12.0564	42.6995	0.254765	0.331981
40 <pt<50 	8<chiso range<13 	70.0669	11.1589	45.4385	11.4509	43.202	0.0878782	0.274782
#######################################################################################
50 <pt<65 	3<chiso range<8 	51.5677	7.35944	36.4207	6.38515	36.7677	0.364837	0.0489402
50 <pt<65 	3<chiso range<9 	51.5677	7.35944	36.4207	7.08184	36.1135	0.0926513	0.0424472
50 <pt<65 	3<chiso range<10 	51.5677	7.35944	36.4207	6.95801	36.1471	0.137671	0.0380603
50 <pt<65 	3<chiso range<11 	51.5677	7.35944	36.4207	6.05764	37.1223	0.513203	0.0997803
50 <pt<65 	3<chiso range<12 	51.5677	7.35944	36.4207	5.65525	37.3999	0.726644	0.141136
50 <pt<65 	3<chiso range<13 	51.5677	7.35944	36.4207	5.86961	37.137	0.617124	0.103016
50 <pt<65 	4<chiso range<9 	51.5677	7.35944	36.4207	6.98733	36.4772	0.122717	0.00777428
50 <pt<65 	4<chiso range<10 	51.5677	7.35944	36.4207	6.90463	36.3517	0.154787	0.00956915
50 <pt<65 	4<chiso range<11 	51.5677	7.35944	36.4207	5.84972	37.427	0.609628	0.143565
50 <pt<65 	4<chiso range<12 	51.5677	7.35944	36.4207	5.42814	37.6903	0.852111	0.183678
50 <pt<65 	4<chiso range<13 	51.5677	7.35944	36.4207	5.70654	37.3435	0.701303	0.133107
50 <pt<65 	5<chiso range<10 	51.5677	7.35944	36.4207	7.9302	35.0977	0.174574	0.180252
50 <pt<65 	5<chiso range<11 	51.5677	7.35944	36.4207	6.3445	36.777	0.387063	0.0505885
50 <pt<65 	5<chiso range<12 	51.5677	7.35944	36.4207	5.72988	37.2584	0.694254	0.121099
50 <pt<65 	5<chiso range<13 	51.5677	7.35944	36.4207	5.97826	36.9777	0.568424	0.0803029
50 <pt<65 	6<chiso range<11 	51.5677	7.35944	36.4207	6.75608	36.3567	0.218333	0.00904288
50 <pt<65 	6<chiso range<12 	51.5677	7.35944	36.4207	5.89224	37.0675	0.613468	0.0935212
50 <pt<65 	6<chiso range<13 	51.5677	7.35944	36.4207	6.15298	36.8106	0.486641	0.0561582
50 <pt<65 	7<chiso range<12 	51.5677	7.35944	36.4207	5.54444	37.3718	0.804115	0.138313
50 <pt<65 	7<chiso range<13 	51.5677	7.35944	36.4207	5.89721	36.9949	0.614377	0.0831249
50 <pt<65 	8<chiso range<13 	51.5677	7.35944	36.4207	5.29029	37.6463	0.964837	0.179824
#######################################################################################
65 <pt<100 	3<chiso range<8 	41.8775	4.60203	31.3753	4.2632	31.0542	0.181956	0.0526163
65 <pt<100 	3<chiso range<9 	41.8775	4.60203	31.3753	4.32676	30.9713	0.144941	0.0660633
65 <pt<100 	3<chiso range<10 	41.8775	4.60203	31.3753	4.35999	30.976	0.125992	0.0651848
65 <pt<100 	3<chiso range<11 	41.8775	4.60203	31.3753	4.49924	30.9068	0.0513603	0.0759781
65 <pt<100 	3<chiso range<12 	41.8775	4.60203	31.3753	3.73783	31.7136	0.517024	0.0557519
65 <pt<100 	3<chiso range<13 	41.8775	4.60203	31.3753	3.78337	31.6461	0.485408	0.0446193
65 <pt<100 	4<chiso range<9 	41.8775	4.60203	31.3753	4.4722	30.8473	0.0660249	0.08597
65 <pt<100 	4<chiso range<10 	41.8775	4.60203	31.3753	4.49203	30.8722	0.055443	0.0817937
65 <pt<100 	4<chiso range<11 	41.8775	4.60203	31.3753	4.63054	30.8168	0.0137861	0.0901583
65 <pt<100 	4<chiso range<12 	41.8775	4.60203	31.3753	3.74706	31.7386	0.508191	0.0598074
65 <pt<100 	4<chiso range<13 	41.8775	4.60203	31.3753	3.79696	31.6603	0.474207	0.046913
65 <pt<100 	5<chiso range<10 	41.8775	4.60203	31.3753	4.36139	30.9554	0.125645	0.0686173
